Event	ID	Name			Wwise Object Path	Notes
	1034569512	NPC_BossStrike			\Default Work Unit\NPC_BossStrike	
	2571308781	NPC_Voice			\Default Work Unit\NPC_Voice	
	3226713398	NPC_Bell			\Default Work Unit\NPC_Bell	

Switch Group	ID	Name			Wwise Object Path	Notes
	3879136259	NPCMood			\Default Work Unit\NPCMood	
	4239148746	NPCType			\Default Work Unit\NPCType	

Switch	ID	Name	Switch Group			Notes
	1206605712	Angry	NPCMood			
	1427264549	Happy	NPCMood			
	563281696	Elf	NPCType			
	2837605046	Knight	NPCType			
	2871106020	Princess	NPCType			
	3202541808	Wizard	NPCType			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3691762776	NPC_Timer			\Default Work Unit\NPC_Timer	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	490251	Mumbles_BossStrike_06	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_BossStrike_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_BossStrikes\NPC_Boss\Mumbles_BossStrike_06		812344
	127113419	Mumbles_PrincessMad_05	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_PrincessMad_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Princess\NPC_Princess_Angry\Mumbles_PrincessMad_05		573652
	127271707	Mumbles_BossStrike_05	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_BossStrike_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_BossStrikes\NPC_Boss\Mumbles_BossStrike_05		648444
	129017961	Mumbles_KnightAngry_01	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_KnightAngry_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Knight\NPC_Knight_Angry\Mumbles_KnightAngry_01		353360
	131501250	Mumbles_WizardHappy_02	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_WizardHappy_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Wizard\NPC_Wizard_Happy\Mumbles_WizardHappy_02		381760
	173906759	Mumbles_PrincessMad_04	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_PrincessMad_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Princess\NPC_Princess_Angry\Mumbles_PrincessMad_04		541336
	189667805	Mumbles_PrincessHappy_01	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_PrincessHappy_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Princess\NPC_Princess_Happy\Mumbles_PrincessHappy_01		522644
	208789235	Mumbles_KnightAngry_03	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_KnightAngry_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Knight\NPC_Knight_Angry\Mumbles_KnightAngry_03		346284
	289942089	Mumbles_PrincessHappy_05	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_PrincessHappy_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Princess\NPC_Princess_Happy\Mumbles_PrincessHappy_05		374644
	297340003	Mumbles_KnightHappy_01	G:\AltStorage\GPrograms\GGJ\MtlGlobalGameJam2021WwiseLOCAL\.cache\iOS\SFX\Mumbles_KnightHappy_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\NPC\NPC_Voice\Knight\NPC_Knight_Happy\Mumbles_KnightHappy_01		294032
